usuario,Fullname,contenido,fecha,enlace,TipoDeTweet,UsuarioOriginal,EnlaceOriginal,comments,retweets,quotes,hearts,plays,Likes,Followers,Following,Tweets,Bio,Ubicacion,JoinDate,Website,IsVerified,IsProtected,search_keyword,keyword_languages,sentimiento,topic
visivisita.bsky.social,,"No voy a defender un burka, pero la prohibición y las sanciones solo van a relegar más a estas mujeres, se o les encerrarán en las casas. Yo no creo en la prohibición, es violencia para combatir la violencia. La solución es que ocupen espacios públicos, que vayan a las escuelas, a trabajar y poco",2026-02-17T09:06:35.751Z,https://bsky.app/profile/visivisita.bsky.social/post/3mf27lr6oms2l,Post,,,1,0,0,0,0,,834,893,4190,❤️💛💜 Free Palestina Hasta que la dignidad se haga costumbre,,2024-11-17T09:02:01.734Z,,False,,prohibición burka espacios públicos,Castellano,-1,rechazo
electomania.es,EM-electomania.es,"𝗘𝗹 𝗱𝗲𝗯𝗮𝘁𝗲 𝘀𝗼𝗯𝗿𝗲 𝗹𝗮 𝗽𝗿𝗼𝗵𝗶𝗯𝗶𝗰𝗶𝗼́𝗻 𝗱𝗲𝗹 𝗯𝘂𝗿𝗸𝗮 𝘆 𝗻𝗶𝗾𝗮𝗯 𝗲𝗻 𝗲𝘀𝗽𝗮𝗰𝗶𝗼𝘀 𝗽𝘂́𝗯𝗹𝗶𝗰𝗼𝘀 𝗮𝘁𝗲𝗿𝗿𝗶𝘇𝗮 𝗵𝗼𝘆 𝗲𝗻 𝗲𝗹 𝗖𝗼𝗻𝗴𝗿𝗲𝘀𝗼 a iniciativa de Vox 🥦 y con el apoyo del PP 💧

🌷 Sumar votará en contra y la tacha de “retrógrada”.

🍈 Junts mantiene la incógnita sobre su posición.

👇
electomania.es/el-debate-so...",2026-02-17T08:23:09.677Z,https://bsky.app/profile/electomania.es/post/3mf25645xu724,Post,,,0,0,1,2,0,,10057,1137,8400,Mucho más que encuestas ➕📊. Victory Award 2018. A la JEC no le gustan nuestros emojis 🌹💧🥦🟣. info@electomania.es https://t.me/electomania,,2023-11-19T10:21:28.806Z,,False,,prohibición burka espacios públicos,Castellano,-1,rechazo
jedirepublicano.bsky.social,𝕵𝖊𝖉í 𝕽𝖊𝖕𝖚𝖇𝖑𝖎𝖈𝖆𝖓𝖔🔻🔴🟡🟣,"PP y Vox votan en el Congreso este martes la prohibición del burka y el niqab en espacios públicos
www.elplural.com/politica/esp...",2026-02-17T08:00:21.005Z,https://bsky.app/profile/jedirepublicano.bsky.social/post/3mf23vckzr22p,Post,,,0,0,0,0,0,,1986,1900,55364,,,2024-11-20T11:01:03.270Z,,False,,prohibición burka espacios públicos,Castellano,0,prohibición burka espacios públicos
elplural.bsky.social,ElPlural,PP y Vox votan en el Congreso este martes la prohibición del burka y el niqab en espacios públicos,2026-02-17T07:21:36.460Z,https://bsky.app/profile/elplural.bsky.social/post/3mezzq236ho23,Post,,,3,1,1,2,0,,10993,24,21406,📲Únete a nuestra comunidad y mantente informado de toda la actualidad: http://elplural.com,,2024-11-14T11:17:12.474Z,,False,,prohibición burka espacios públicos,Castellano,0,prohibición burka espacios públicos
elpais.com,EL PAÍS,"El PP busca elementos de enganche con Vox. Y ha encontrado uno: la prohibición del uso del burka y el niqab en espacios públicos. Los dos partidos del Gobierno, PSOE y Sumar, anticipan su rechazo",2026-02-17T06:24:14.316Z,https://bsky.app/profile/elpais.com/post/3mezwjgzoj226,Post,,,3,1,4,11,0,,163351,127,27282,"La mejor información en español. Con nuestra mirada puesta en España, Europa y América. Suscríbete: https://tinyurl.com/yfbk27jh  Aquí puedes consultar nuestra política de privacidad: https://tinyurl.com/32dnhzc9",,2023-09-21T14:39:53.438Z,,False,,prohibición burka espacios públicos,Castellano,-1,rechazo
larazonlr.bsky.social,La Razón,"Junts mantiene la incógnita sobre el apoyo a la prohibición del burka y el niqab



🗳️ El apoyo a la Proposición de Ley registrada por la formación de Santiago Abascal en el Congreso de los Diputados para prohibir el burka y el niqab en los espacios públicos no se resolverá hasta la votación.",2026-02-16T18:43:14.968Z,https://bsky.app/profile/larazonlr.bsky.social/post/3meypdzj3lf26,Post,,,1,1,0,0,0,,2127,31,58057,"📰 Noticias de actualidad, información de calidad, últimas horas y exclusivas 📲 Síguenos en nuestro canal de WhatsApp ➡️ http://lrzn.es/n0owe 🔗 larazon.es  ",,2024-11-18T11:26:54.946Z,,False,,prohibición burka espacios públicos,Castellano,0,falta de competencias
maximodaza.bsky.social,M.D.R,"PPVOX quieren prohibir la utilización del burka y niqab en los espacios públicos y, yo me pregunto si tambien pedirán la prohibición de",2026-02-16T17:56:18.198Z,https://bsky.app/profile/maximodaza.bsky.social/post/3meympztffs25,Post,,,2,8,0,16,0,,2534,5136,4155,Socialista,,2024-11-17T00:06:06.829Z,,False,,prohibición burka espacios públicos,Castellano,0,prohibición burka espacios públicos
juliolopezguillen.bsky.social,,"Lo de la prohibición de los nazis (pp/vox) del burka y el nicab en espacios públicos.

Mañana votan la ""Toma en consideración"", no que se apruebe. Pero aunque salga ese paso, su aprobación definitiva no es constitucional. La vestimenta es libertad de expresión y, por tanto, un ""Derecho Fundamental"".",2026-02-16T14:31:30.050Z,https://bsky.app/profile/juliolopezguillen.bsky.social/post/3meybbswozc2w,Post,,,1,0,1,1,0,,159,223,1652,"Mediterráneo, chocolate, vivir es la mejor de las historias ❤️🍋🌹🏳️‍🌈🇪🇺🇪🇸🇵🇹  https://www.instagram.com/juliolopezguillen/",,2024-11-15T12:04:20.324Z,,False,,prohibición burka espacios públicos,Castellano,1,libertad de expresión
gloriams.bsky.social,,"Ante la propues prohibición del #niqab y el #burka: No estamos ante un debate técnico sobre una prenda, sino ante una estrategia de construcción de pánico moral, dentro de otra más amplia de ofensiva racista. vientosur.info/niqab-un-deb...",2026-02-21T18:06:52.132Z,https://bsky.app/profile/gloriams.bsky.social/post/3mff7njp3ps25,Post,,,0,0,0,0,0,,14,72,8,,,2024-11-18T20:21:40.646Z,,False,,prohibición del burka,Castellano,-1,Ofensiva racista
larazonlr.bsky.social,La Razón,"Ada Colau incendia las redes: la exalcaldesa compara la prohibición del burka con los nazarenos de Semana Santa



➡️ Las declaraciones de la exalcaldesa de Barcelona han desatado la polémica en cientos de usuarios.",2026-02-20T20:33:59.566Z,https://bsky.app/profile/larazonlr.bsky.social/post/3mfcxfq4khc2n,Post,,,0,0,0,0,0,,2127,31,58057,"📰 Noticias de actualidad, información de calidad, últimas horas y exclusivas 📲 Síguenos en nuestro canal de WhatsApp ➡️ http://lrzn.es/n0owe 🔗 larazon.es  ",,2024-11-18T11:26:54.946Z,,False,,prohibición del burka,Castellano,1,prohibición burka espacios públicos
abc.es,ABC.es,José Manuel Soto pone en evidencia a Rufián tras ver lo que dice sobre la prohibición del burka,2026-02-20T16:13:12.079Z,https://bsky.app/profile/abc.es/post/3mfciteokww2y,Post,,,0,0,0,0,0,,885,1,33292,"Somos ABC, tu periódico 📰 📸 http://instagram.com/abc_diario ⬛ http://Tiktok.com/@abc.es  ➡ LinkedIn http://ver.abc.es/gzpmg 🟦 Facebook https://facebook.com/ABCes",,2024-11-21T08:50:17.570Z,,False,,prohibición del burka,Castellano,-1,rechazo
topo.bsky.social,Topo #7291,La prohibición del burka en el ayuntamiento de Burgos no es cosa pequeña teniendo en cuenta el frío que hace en esa ciudad del demonio.,2026-02-20T15:40:30.857Z,https://bsky.app/profile/topo.bsky.social/post/3mfcgyvr4tc26,Post,,,0,0,0,6,0,,1257,664,9769,"Estridentista. Tampoco cuesta nada ser amable, hijos de puta.",,2023-08-24T06:22:41.639Z,,False,,prohibición del burka,Castellano,-1,rechazo
fernandezalgo.bsky.social,Marco Fernández,Aprueban la tajante prohibición del uso del burka en el cuarto de la limpieza de la sede del partido.,2026-02-20T14:04:03.549Z,https://bsky.app/profile/fernandezalgo.bsky.social/post/3mfcbmgkhv22a,Post,,,0,0,0,1,0,,77,114,696,"Se acabó lo que se daba, baby blue.",,2024-02-01T08:59:07.753Z,,False,,prohibición del burka,Castellano,0,prohibición burka espacios públicos
cristianvf.bsky.social,Cristian 💤,"La prohibición de cubrirse el rostro ya sabemos que produce más problemas que beneficios pero el PP ha prohibido el uso del burka en el ayuntamiento de Burgos y a mí que se prohíba los elementos religiosos l, incluida la indumentaria, dentro de  edificios públicos no me parece tan mal, la verdad",2026-02-20T13:41:43.333Z,https://bsky.app/profile/cristianvf.bsky.social/post/3mfcaeige6c2v,Post,,,0,0,0,0,0,,472,961,2541,🌱 #PlanticidaAmateur y memes 📸 En IG hago fotos  #️⃣ Memes de culto 👇🏼 https://bsky.app/profile/did:plc:iwrqmjuvu22fd6zsevzmmr4y/feed/aaaas2bbg5lem,,2023-12-20T18:13:20.049Z,,False,,prohibición del burka,Castellano,0,libertad de expresión
elperiodico.com,El Periódico,15 años de la prohibición del burka en Francia: más debate social que impacto real,2026-02-20T13:21:10.037Z,https://bsky.app/profile/elperiodico.com/post/3mfc77r56td2x,Post,,,0,0,0,2,0,,7871,8,23811,Entender + | 🔗 elperiodico.com,,2024-11-14T17:45:44.623Z,,False,,prohibición del burka,Castellano,-1,rechazo
manufdz.bsky.social,Manu,No entiendo por qué no han prohibido el uso de aviones Airbus A320 dentro del ayuntamiento. ¿No se dan cuenta de que no caben? Espero que rectifiquen y junto a la prohibición de uso del burka incluyan también la de los A320.,2026-02-20T13:17:44.932Z,https://bsky.app/profile/manufdz.bsky.social/post/3mfc6zmnsps2d,Post,,,1,2,0,30,0,,130,202,1459,¯⁠\⁠_⁠(⁠ツ⁠)⁠_⁠/⁠¯ Pongo este emoji aquí para poder copiarlo fácilmente y ponerlo en respuestas porque me gusta mucho.,,2023-10-19T12:59:07.006Z,,False,,prohibición del burka,Castellano,0,prohibición burka espacios públicos
abc.es,ABC.es,Pedro Ruiz opina sin filtros sobre la prohibición del burka en España: «Honradamente...»,2026-02-20T08:30:17.167Z,https://bsky.app/profile/abc.es/post/3mfboxmo4qn24,Post,,,0,0,0,0,0,,885,1,33292,"Somos ABC, tu periódico 📰 📸 http://instagram.com/abc_diario ⬛ http://Tiktok.com/@abc.es  ➡ LinkedIn http://ver.abc.es/gzpmg 🟦 Facebook https://facebook.com/ABCes",,2024-11-21T08:50:17.570Z,,False,,prohibición del burka,Castellano,1,opinión
lapajareramgz.bsky.social,La Pajarera Magazine,"El debate sobre la prohibición del burka explicado por Marisa M Toca con perspectiva feminista.
Debate sobre la propuesta de prohibir burkas lapajareramagazine.com/debate-sobre...",2026-02-20T07:21:13.770Z,https://bsky.app/profile/lapajareramgz.bsky.social/post/3mfbl44hf2k2p,Post,,,0,1,0,0,0,,501,541,2491,Cultura. Memoria. Feminismo. Literatura. Andamos descalzas y con sed de vida. Tu Magazine digital.,,2024-11-18T21:06:49.624Z,,False,,prohibición del burka,Castellano,0,opinión
albertoortega.bsky.social,Alberto Ortega,"@amnistiainternacional.es 
Podéis publicar aquí los tuits sobre la postura de AI respecto a las actuales propuestas de prohibición del burka?",2026-02-19T21:58:39.494Z,https://bsky.app/profile/albertoortega.bsky.social/post/3mfalo5unus2z,Post,,,0,0,0,0,0,,387,526,279,"Cine, rock and roll y politica 🔻 He venido a jugar.",,2024-11-16T11:21:41.681Z,,False,,prohibición del burka,Castellano,0,propuesta
lienzoennegro.bsky.social,Lienzo en negro,"Al final voy a opinar de lo de la prohibición del burka, aunque sea tangencialmente. 
El caso es que ambas opiniones al respecto me parecen relativamente aceptables, pero estoy viendo tal desfile de argumentos de mierda para defender una u otra que me está sacando un poco de quicio.",2026-02-19T21:03:07.441Z,https://bsky.app/profile/lienzoennegro.bsky.social/post/3mfaiku6fw22k,Post,,,0,0,0,2,0,,192,115,2983,,,2023-10-10T12:42:06.198Z,,False,,prohibición del burka,Castellano,-1,rechazo
ladypaloma.bsky.social,LadyPalo,"Lo de la prohibición del Burka sería genial si aplicáramos una detención al marido de por vida, por secuestro.
Pero veréis como no lo hacen.
Entre otras cosas porque no le van a decir cómo tratar a su señora a un jeque millonatis, todos estos palurdos",2026-02-19T17:11:56.907Z,https://bsky.app/profile/ladypaloma.bsky.social/post/3mfa3ni7ckk2e,Post,,,0,0,0,9,0,,3368,545,3353,Wet is good,,2024-11-13T10:36:57.382Z,,False,,prohibición del burka,Castellano,-1,rechazo
moncho1952ramon.bsky.social,Atila,"El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp...",2026-02-19T16:35:39.678Z,https://bsky.app/profile/moncho1952ramon.bsky.social/post/3mf7zmltkec2u,Post,,,0,1,0,1,0,,1290,1156,17939,"""triunfar en la vida no es ganar, es levantarse y volver a empezar cada vez que uno cae"".  No discuto . Bloqueo o silencio sin pestañear. Abstenerse Fascistas.",,2024-08-31T11:13:53.701Z,,False,,prohibición del burka,Castellano,0,prohibición burka espacios públicos
autodefensas.bsky.social,👁️‍🗨️SigWar_OpX📡Δ,"El Congreso ha rechazado la prohibición del burka y el niqab, con el apoyo únicamente de PP y VOX.

",2026-02-19T13:06:12.260015+00:00,https://bsky.app/profile/autodefensas.bsky.social/post/3mf7nw2pdcr23,Post,,,0,0,0,0,0,,110,39,46279,"Noticias de actualidad sobre España, Israel y el resto del mundo.  🔔 Otras Plataformas:  📨 Email: autodefensas@proton.me 🐦 X: https://x.com/elrick111 💬 Telegram: https://t.me/autodefensavecinalespana",,2025-05-24T09:06:30.640Z,,False,,prohibición del burka,Castellano,-1,rechazo
periodicoclm.bsky.social,PeriódicoCLM,"🗣️ @sarasimonalcorlo.bsky.social defiende avanzar hacia la prohibición del burka y nicab en espacios públicos para salvaguardar los derechos de las mujeres a las que se trata de ""invisibilizar"" con estos elementos

@publico.es | #CastillaLaMancha

Aquí os lo contamos 👇",2026-02-19T12:29:15.399Z,https://bsky.app/profile/periodicoclm.bsky.social/post/3mf7ltyhatc2e,Post,,,1,2,0,1,0,,313,96,1846,🔴 Síguenos y súmate a Periódico de Castilla-La Mancha 📢 Tu diario con la actualidad de la región 👉 También en periodicoclm.publico.es y facebook: http://facebook.com/periodicoclm,,2024-11-19T19:03:57.410Z,,False,,prohibición del burka,Castellano,1,libertad de expresión
autodefensas.bsky.social,👁️‍🗨️SigWar_OpX📡Δ,"Patxi López denuncia que la prohibición del burka es discurso de odio, mientras Yolanda Díaz defiende la libertad religiosa para permitir su uso en España. La izquierda busca captar el voto musulmán, incluso empoderando símbolos que someten a las mujeres.

",2026-02-19T11:45:39.779204+00:00,https://bsky.app/profile/autodefensas.bsky.social/post/3mf7jg23jhw27,Post,,,0,0,0,0,0,,110,39,46279,"Noticias de actualidad sobre España, Israel y el resto del mundo.  🔔 Otras Plataformas:  📨 Email: autodefensas@proton.me 🐦 X: https://x.com/elrick111 💬 Telegram: https://t.me/autodefensavecinalespana",,2025-05-24T09:06:30.640Z,,False,,prohibición del burka,Castellano,0,libertad de expresión
autodefensas.bsky.social,👁️‍🗨️SigWar_OpX📡Δ,"El Parlamento portugués ha aprobado la prohibición del uso del burka en espacios públicos. La propuesta, apoyada por PSD, IL y CDS-PP, ha generado debate y oposición por parte de otros partidos.

",2026-02-19T11:44:35.915342+00:00,https://bsky.app/profile/autodefensas.bsky.social/post/3mf7je56kh22o,Post,,,0,0,0,0,0,,110,39,46279,"Noticias de actualidad sobre España, Israel y el resto del mundo.  🔔 Otras Plataformas:  📨 Email: autodefensas@proton.me 🐦 X: https://x.com/elrick111 💬 Telegram: https://t.me/autodefensavecinalespana",,2025-05-24T09:06:30.640Z,,False,,prohibición del burka,Castellano,0,prohibición burka espacios públicos
20minutos.es,20minutos,"Susanna Griso, sobre la prohibición del burka y el niqab: ""¡Libertad y burka son antónimos!"" ver.20m.es/8rwdu3

➡Nueve países europeos ya han tomado medidas con respecto al uso de estas prendas de tradición islámica
",2026-02-19T11:36:29+00:00,https://bsky.app/profile/20minutos.es/post/3mf7ivmzdrm2i,Post,,,0,2,0,2,0,,17240,4687,19996,"Cuenta oficial del periódico 20minutos, el medio social y ciudadano. Información, análisis y contacto personal con los lectores las 24 horas ¿Nos seguimos?",,2023-08-16T10:32:33.813Z,,False,,prohibición del burka,Castellano,1,libertad de expresión
felixnenapepa.bsky.social,,"El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp...",2026-02-19T10:42:58.709Z,https://bsky.app/profile/felixnenapepa.bsky.social/post/3mf7fvx62kc2r,Post,,,0,0,0,0,0,,104,110,12429,,,2024-11-15T11:14:34.941Z,,False,,prohibición del burka,Castellano,0,prohibición burka espacios públicos
xavi-tillinghast.bsky.social,Xavi-Tillinghast 📜🌒🧭,Madre mía como está X con el tema de la prohibición o no del burka.,2026-02-19T10:11:04.764Z,https://bsky.app/profile/xavi-tillinghast.bsky.social/post/3mf7e4vv2ns2i,Post,,,1,0,0,1,0,,276,172,2450,"Bibliofilo, eterno máster, brujulero, rolero y mucho más. Odio eterno a J. B. Culla",,2024-05-01T20:37:37.800Z,,False,,prohibición del burka,Castellano,0,propuesta
agenciadenoticias.bsky.social,Agenciadenoticias,"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19T09:53:53.163Z,https://bsky.app/profile/agenciadenoticias.bsky.social/post/3mf7da2eexe22,Post,,,0,0,0,0,0,,9,13,1038,,,2025-11-03T11:27:48.150Z,,False,,prohibición del burka,Castellano,0,opción
arabagaur.bsky.social,ArabaGaur,"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19T09:53:53.115Z,https://bsky.app/profile/arabagaur.bsky.social/post/3mf7da2ckqq23,Post,,,0,0,0,0,0,,30,6,2936,Actualidad de Araba,,2025-01-13T16:56:06.543Z,,False,,prohibición del burka,Castellano,0,opción
gipuzkoagaur.bsky.social,GipuzkoaGaur,"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19T09:53:53.107Z,https://bsky.app/profile/gipuzkoagaur.bsky.social/post/3mf7da2tdvq27,Post,,,0,0,0,0,0,,86,6,4702,Actualidad de Gipuzkoa,,2025-01-13T16:20:33.242Z,,False,,prohibición del burka,Castellano,0,opción
bizkaiagaur.bsky.social,BizkaiaGaur,"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19T09:53:52.833Z,https://bsky.app/profile/bizkaiagaur.bsky.social/post/3mf7da2hd2f2v,Post,,,0,0,1,1,0,,92,6,3878,Actualidad de Bizkaia,,2025-01-13T16:30:18.844Z,,False,,prohibición del burka,Castellano,0,opción
20minutos.es,20minutos,"Rufián aboga por la prohibición del burka porque ""es una salvajada"", pese a votar en contra de vetarlo esta semana ver.20m.es/pjp7c4",2026-02-19T09:17:01+00:00,https://bsky.app/profile/20minutos.es/post/3mf7b4bhc762k,Post,,,1,2,1,4,0,,17240,4687,19996,"Cuenta oficial del periódico 20minutos, el medio social y ciudadano. Información, análisis y contacto personal con los lectores las 24 horas ¿Nos seguimos?",,2023-08-16T10:32:33.813Z,,False,,prohibición del burka,Castellano,1,ofensiva racista
cusohugo.bsky.social,Hugo Cuevas,"7.2 En definitiva proponer la prohibición del burka como parte de una implantación de límites a lo intolerable, en un marco de antifascismo, no de racismo, siguiendo la estela de los límites recientemente propuestos a las rrss, etc",2026-02-19T08:01:35.411Z,https://bsky.app/profile/cusohugo.bsky.social/post/3mf74vgbk3e2s,Post,,,0,0,0,0,0,,491,272,296,"Clase obrera. Psicólogo. Aquí escribo un poco de todo, desde experiencias personales hasta reflexiones sobre actualidad y política.",,2024-11-16T09:20:48.970Z,,False,,prohibición del burka,Castellano,0,antifascismo
ecac1944.bsky.social,,"El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp...",2026-02-19T07:50:50.880Z,https://bsky.app/profile/ecac1944.bsky.social/post/3mf74c5rq222s,Post,,,0,0,0,0,0,,122,43,17758,,,2025-01-23T15:15:33.844Z,,False,,prohibición del burka,Castellano,0,prohibición burka espacios públicos
