ID,FECHA,HRS,TITULO,CUERPO,CONTENIDO,KEYWORD,LANGUAGE,LIKES,COMMENTS,SHARES,FOLLOWERS,FUENTE,SENTIMIENTO,TOPIC,sent_Legitimación_sociopolítica,sent_Efectividad_percibida,sent_Justicia_y_equidad_percibida,sent_Confianza_y_legitimidad_institucional,sent_Marcos_discursivos_dominantes
F5C7C709BA655B7A,2026-02-17,08:00,,,"PP y Vox votan en el Congreso este martes la prohibición del burka y el niqab en espacios públicos
www.elplural.com/politica/esp...",prohibición burka espacios públicos,Castellano,0,0,0,1974.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,0.0,0.0,1.0
5B3CCB21A9B03A7C,2026-02-17,07:21,,,PP y Vox votan en el Congreso este martes la prohibición del burka y el niqab en espacios públicos,prohibición burka espacios públicos,Castellano,2,3,1,10978.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,0.0,0.0,1.0
AB49EC778314099E,2026-02-17,06:24,,,"El PP busca elementos de enganche con Vox. Y ha encontrado uno: la prohibición del uso del burka y el niqab en espacios públicos. Los dos partidos del Gobierno, PSOE y Sumar, anticipan su rechazo",prohibición burka espacios públicos,Castellano,11,3,1,163218.0,BlueSky,-1,prohibición burka espacios públicos,0.0,0.0,0.0,0.0,1.0
AB49EC778314099E,2026-02-17,06:24,,,"El PP busca elementos de enganche con Vox. Y ha encontrado uno: la prohibición del uso del burka y el niqab en espacios públicos. Los dos partidos del Gobierno, PSOE y Sumar, anticipan su rechazo",prohibición burka espacios públicos,Castellano,11,3,1,163218.0,BlueSky,-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
2DF7CFCE521D1CB5,2026-02-16,18:43,,,"Junts mantiene la incógnita sobre el apoyo a la prohibición del burka y el niqab



🗳️ El apoyo a la Proposición de Ley registrada por la formación de Santiago Abascal en el Congreso de los Diputados para prohibir el burka y el niqab en los espacios públicos no se resolverá hasta la votación.",prohibición burka espacios públicos,Castellano,0,1,1,2124.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,0.0,0.0,1.0
1315A2C2B899EF61,2026-02-16,17:56,,,"PPVOX quieren prohibir la utilización del burka y niqab en los espacios públicos y, yo me pregunto si tambien pedirán la prohibición de",prohibición burka espacios públicos,Castellano,16,2,8,2537.0,BlueSky,-1,prohibicion burka espacios públicos,1.0,0.0,0.0,0.0,1.0
9E47D271E2BF3F00,2026-02-16,14:31,,,"Lo de la prohibición de los nazis (pp/vox) del burka y el nicab en espacios públicos.

Mañana votan la ""Toma en consideración"", no que se apruebe. Pero aunque salga ese paso, su aprobación definitiva no es constitucional. La vestimenta es libertad de expresión y, por tanto, un ""Derecho Fundamental"".",prohibición burka espacios públicos,Castellano,1,1,0,157.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,1.0,0.0,1.0
F7C687BD362E352B,2026-02-17,23:37,,,La prohibición del burka y el niqab en los espacios públicos decae por el rechazo de Juntsabc.es/sociedad/prohibicion-…a través de@ABC_Sociedad,prohibición burka espacios públicos,Castellano,0,0,0,,X (Twitter),-1,prohibicion burka espacios públicos,2.0,2.0,2.0,2.0,2.0
996A8617A2C38B8B,2026-02-17,10:14,,,"❌ PP y Vox reclaman al Gobierno la prohibición del burka en los espacios públicos de España 

➡️ La izquierda ha recocido que el velo integral islámico somete a las mujeres pero han rechazado la propuestalarazon.es/espana/vox-reclam…",prohibición burka espacios públicos,Castellano,21,5,10,,X (Twitter),-1,prohibición burka espacios públicos,1.0,0.0,1.0,0.0,1.0
057A88CD721EC968,2026-02-17,16:40,"🤝 PP y Vox encuentran en el burka su primera vía de entendimiento

Los populares apoyarán la medida mientras continúan las negociaciones autonómicas

✍️ Informa@_Carlos_Mullorabc.es/espana/pp-apoyara-pro…",,"➡️ La prohibición del burka y el niqab en los espacios públicos decaerá por el rechazo de Junts 

✍️ Por@gregoriacarodabc.es/sociedad/prohibicion-…",prohibición burka espacios públicos,Castellano,0,3,1,,X (Twitter),-1,prohibición burka espacios públicos,1.0,0.0,1.0,0.0,1.0
057A88CD721EC968,2026-02-17,16:40,"🤝 PP y Vox encuentran en el burka su primera vía de entendimiento

Los populares apoyarán la medida mientras continúan las negociaciones autonómicas

✍️ Informa@_Carlos_Mullorabc.es/espana/pp-apoyara-pro…",,"➡️ La prohibición del burka y el niqab en los espacios públicos decaerá por el rechazo de Junts 

✍️ Por@gregoriacarodabc.es/sociedad/prohibicion-…",prohibición burka espacios públicos,Castellano,0,3,1,,X (Twitter),-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
057A88CD721EC968,2026-02-17,19:33,,,🔴#ÚLTIMAHORALa prohibición del burka y el niqab en los espacios públicos decae por el rechazo de Juntsabc.es/sociedad/prohibicion-…,prohibición burka espacios públicos,Castellano,22,24,12,,X (Twitter),-1,prohibición burka espacios públicos,1.0,0.0,1.0,0.0,1.0
057A88CD721EC968,2026-02-17,19:33,,,🔴#ÚLTIMAHORALa prohibición del burka y el niqab en los espacios públicos decae por el rechazo de Juntsabc.es/sociedad/prohibicion-…,prohibición burka espacios públicos,Castellano,22,24,12,,X (Twitter),-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
17F21A233D511C56,2026-02-17,19:10,,,La prohibición del burka y el niqab en los espacios públicos decaerá por el rechazo de Juntsabc.es/sociedad/prohibicion-…,prohibición burka espacios públicos,Castellano,0,0,0,,X (Twitter),-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
BCB65FF3589CA66F,2026-02-18,01:43,,,La prohibición del burka y el niqab en los espacios públicos decae por el rechazo de Juntsabc.es/sociedad/prohibicion-…vía@ABC_Sociedad,prohibición burka espacios públicos,Castellano,0,0,0,,X (Twitter),-1,prohibicion burka espacios públicos,2.0,2.0,2.0,2.0,2.0
